"name","hour","max_high"
"PINS","9","16.540000915527344"
"SNAP","9","16.729999542236328"
"TTD","9","289.44989013671875"
"FB","9","203.8677978515625"
"DDOG","9","67.25"
"BYND","9","137.97000122070312"
"OKTA","9","178.0"
"SQ","9","72.80999755859375"
"SHOP","9","758.0900268554688"
"NFLX","9","452.0"
"TTD","10","290.07000732421875"
"OKTA","10","177.80679321289062"
"BYND","10","139.55999755859375"
"FB","10","203.35000610351562"
"PINS","10","16.674999237060547"
"DDOG","10","66.55000305175781"
"SQ","10","75.58999633789062"
"SHOP","10","752.0"
"NFLX","10","446.510009765625"
"SNAP","10","16.93000030517578"
"BYND","11","141.0"
"SNAP","11","17.149999618530273"
"FB","11","204.27000427246094"
"NFLX","11","440.6400146484375"
"SHOP","11","757.469970703125"
"DDOG","11","65.0"
"PINS","11","16.94499969482422"
"OKTA","11","179.88999938964844"
"SQ","11","76.48999786376953"
"TTD","11","296.8562927246094"
"BYND","12","138.24000549316406"
"SNAP","12","16.989999771118164"
"SQ","12","76.75"
"PINS","12","17.040000915527344"
"OKTA","12","179.0050048828125"
"NFLX","12","440.3399963378906"
"TTD","12","294.5"
"DDOG","12","64.87999725341797"
"FB","12","205.10000610351562"
"SHOP","12","754.1599731445312"
"BYND","13","137.78990173339844"
"SNAP","13","17.0"
"SQ","13","77.18000030517578"
"TTD","13","296.0"
"DDOG","13","65.0"
"PINS","13","17.030000686645508"
"SHOP","13","755.8200073242188"
"FB","13","205.63999938964844"
"NFLX","13","441.7799987792969"
"OKTA","13","178.5"
"PINS","14","16.905000686645508"
"DDOG","14","64.12999725341797"
"SQ","14","77.26000213623047"
"OKTA","14","177.80999755859375"
"FB","14","204.98500061035156"
"SNAP","14","16.920000076293945"
"BYND","14","135.7301025390625"
"SHOP","14","751.7999877929688"
"NFLX","14","441.44000244140625"
"TTD","14","295.7699890136719"
"TTD","15","297.6700134277344"
"PINS","15","17.09000015258789"
"DDOG","15","65.86990356445312"
"NFLX","15","442.1400146484375"
"OKTA","15","177.85000610351562"
"SQ","15","78.25"
"BYND","15","135.85000610351562"
"SNAP","15","16.969999313354492"
"FB","15","206.92999267578125"
"SHOP","15","755.5700073242188"
